,p,theta,error
0,0.0,0.0,0.0
1,0.01,0.0,0.0
2,0.02,0.0,0.0
3,0.03,0.0,0.0
4,0.04,0.0,0.0
5,0.05,0.0,0.0
6,0.06,0.0,0.0
7,0.07,0.0,0.0
8,0.08,0.0,0.0
9,0.09,0.0,0.0
10,0.1,0.0,0.0
11,0.11,0.0,0.0
12,0.12,0.0,0.0
13,0.13,0.0,0.0
14,0.14,0.0,0.0
15,0.15,0.0,0.0
16,0.16,0.0,0.0
17,0.17,0.0,0.0
18,0.18,0.0,0.0
19,0.19,0.0,0.0
20,0.2,0.0,0.0
21,0.21,0.0,0.0
22,0.22,0.0,0.0
23,0.23,0.0,0.0
24,0.24,0.0,0.0
25,0.25,0.0,0.0
26,0.26,0.0,0.0
27,0.27,0.0,0.0
28,0.28,0.0,0.0
29,0.29,0.0,0.0
30,0.3,0.0,0.0
31,0.31,0.0,0.0
32,0.32,0.002,0.005144847422421777
33,0.33,0.0,0.0
34,0.34,0.0,0.0
35,0.35000000000000003,0.0,0.0
36,0.36,0.002,0.005144847422421777
37,0.37,0.002,0.005144847422421777
38,0.38,0.004,0.007268618850923469
39,0.39,0.002,0.005144847422421777
40,0.4,0.0,0.0
41,0.41000000000000003,0.0,0.0
42,0.42,0.01,0.0114580266625628
43,0.43,0.006,0.008893261212850999
44,0.44,0.008,0.010258717268742718
45,0.45,0.016,0.014449398603402152
46,0.46,0.034,0.020869894465473465
47,0.47000000000000003,0.032,0.020267720148058097
48,0.48,0.04,0.022566169369212845
49,0.49,0.036,0.021452701927729294
50,0.5,0.032,0.020267720148058097
51,0.51,0.046,0.024123778621932348
52,0.52,0.044,0.023618239138428587
53,0.53,0.064,0.028185136508450694
54,0.54,0.09,0.03295597631689888
55,0.55,0.068,0.028990429110311564
56,0.56,0.11,0.036031602448406315
57,0.5700000000000001,0.126,0.03821494334681134
58,0.58,0.142,0.040195741752081154
59,0.59,0.152,0.041343948529379726
60,0.6,0.2,0.04606300033649567
61,0.61,0.188,0.04499343707697825
62,0.62,0.21,0.04690459865514255
63,0.63,0.294,0.05246482721786092
64,0.64,0.306,0.05306799501582851
65,0.65,0.288,0.052146897127250055
66,0.66,0.346,0.05477963759463912
67,0.67,0.4,0.056415423423032116
68,0.68,0.41,0.05663829424514831
69,0.6900000000000001,0.448,0.05726651796643481
70,0.7000000000000001,0.504,0.05757690787112487
71,0.71,0.476,0.05751238144956267
72,0.72,0.554,0.05724196620487455
73,0.73,0.6,0.056415423423032116
74,0.74,0.652,0.054853665146460354
75,0.75,0.682,0.05362878755854919
76,0.76,0.734,0.0508839807306779
77,0.77,0.714,0.05203845015947343
78,0.78,0.752,0.04973097706661313
79,0.79,0.762,0.049040873309923835
80,0.8,0.818,0.04443289158945208
81,0.81,0.856,0.040430616121944034
82,0.8200000000000001,0.862,0.03971782037071018
83,0.8300000000000001,0.906,0.03360626571042965
84,0.84,0.916,0.0319432875577953
85,0.85,0.934,0.028591545865867405
86,0.86,0.942,0.026917311437065935
87,0.87,0.934,0.028591545865867405
88,0.88,0.974,0.01832560762976225
89,0.89,0.966,0.020869894465473476
90,0.9,0.99,0.011458026662562806
91,0.91,0.98,0.01612205011777349
92,0.92,0.99,0.011458026662562806
93,0.93,0.998,0.005144847422421779
94,0.9400000000000001,0.998,0.005144847422421779
95,0.9500000000000001,1.0,0.0
96,0.96,1.0,0.0
97,0.97,0.998,0.005144847422421779
98,0.98,1.0,0.0
99,0.99,1.0,0.0
100,1.0,1.0,0.0
